FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,desk,earth,fence,fountain,grass,lake,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,sofa,streetlight,tree,van,wall,water,windowpane
117,42.340923,-71.05011,9.078432553,1,4.975052741,5.435108777,6.391360823,6.042592169,0,0,0,0,0,0.344,0,0.180711,0,0,0,0,1.20E-05,9.80E-05,0,0,0,0,0,0,0,0,1.60E-05,0.000289,0.177668,0,0.020977,0,0.198117,0,0,0,0.076887,0,0,0,0
118,42.340923,-71.050484,6.289289362,1,5.302892955,5.701425356,6.238089454,6.264559141,0,0,0,0,0,0.362332,0,0.102906,0,0,0,0,0,0.009262,0,0,0,0,0,0,0,0,0.00052,0,0.207926,0,0.062977,0,0.162965,0,0,0,0.090156,0,0.000957,0,0
119,42.340923,-71.051231,5.184011277,1,2.908993724,3.824225287,5.10843119,4.710894981,0,0,0,0,0,0.210289,0,0.086477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003715,0,0.342488,0,0.007391,5.50E-05,0.336148,0,0,0,0.00141,0.012027,0,0,0
121,42.340923,-71.052361,6.806134894,1,6.21608071,6.500952161,5.164783013,5.819823415,0,0,0,0,0,0.290816,0,0.185852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17609,0,0.014836,0,0.094508,0,0,0,0.22927,0,0.004215,0,0
122,42.340923,-71.052734,5.386607447,1,5.515949142,4.478908189,4.483086994,5.393282021,0,0,0,0,0,0.399613,0,0.001074,0,0,0,0,0,0.128215,0,0,0,0,0,0.000816,0,0,0,0,0.144035,0,0.044191,1.60E-05,0.245359,0,0,7.80E-05,1.60E-05,0,0.036586,0,0
123,42.340923,-71.053482,5.327462128,1,7.3796144,5.175139939,5.542115648,5.580485367,0,0,0,0,0,0.313344,0,0.041105,0,0,0,0,0,0.001852,0,0,0,0,0,0,0,0,0,0,0.306227,0,0.044953,0,0.141898,0,0,0,0.149117,0,0,0,0
124,42.340923,-71.053864,6.576038511,1,3.746529775,3.900975244,5.228285455,5.129980726,0,0,0,0,0,0.22207,0,0.011914,0,0,0,0,0,0.006012,0,0,0,0,0,0,0,0,0.000168,0,0.280938,0,0.071145,0.040051,0.23225,0,0,0.000797,0.010973,0,0.08491,0,0
126,42.340923,-71.054985,4.970535532,1,4.391368752,5.508684863,3.411192929,5.40696726,0,0,0,0,0.021684,0.051027,0,0,0,0,0,0,0.009016,0.124531,0,0,0,0,0,0,0,0,0,0,0.249914,0,0,0,0.217312,0,0,0,0.172746,0,0.15377,0,0
127,42.340923,-71.055733,5.859904255,1,3.247387696,3.381903168,6.193681712,4.838494711,0,0,0,0,0,0.254902,0,0.011672,0,0,0,0,0.001969,0,0,0,0,0,0,0,0,0,0.001086,0,0.377617,0,0.042461,5.50E-05,0.290324,0,0,0,0.016297,0,0.003598,0,0
128,42.340923,-71.056114,5.610035532,1,3.919185927,3.864331467,5.818112158,5.15698411,0,0,0,0,0,0.120234,0,0.019082,0,0,0,0,0,0.003781,0,0,0,0,0,0,0,0,0.029801,0,0.285559,0,0.096781,0.000344,0.402367,0,0,0.000234,0.012211,0,0.020766,0,0
